Away_Team,Away_Score,Home_Team,Home_Score,Year,day,tourney_game
Michigan,62,Villanova,79,2018,4/2/2018,0
Loyola (IL),57,Michigan,69,2018,3/31/2018,1
Villanova,95,Kansas,79,2018,3/31/2018,1
San Francisco,77,North Texas,88,2018,3/30/2018,1
UIC,71,Northern Colorado,76,2018,3/30/2018,1
Penn State,82,Utah,66,2018,3/29/2018,1
UIC,67,Liberty,51,2018,3/28/2018,1
San Francisco,55,North Texas,69,2018,3/28/2018,1
Sam Houston State,80,Northern Colorado,99,2018,3/28/2018,1
Western Kentucky,64,Utah,69,2018,3/27/2018,1
Penn State,75,Mississippi State,60,2018,3/27/2018,1
North Texas,62,San Francisco,72,2018,3/26/2018,1
Texas Tech,59,Villanova,71,2018,3/25/2018,1
Duke,81,Kansas,85,2018,3/25/2018,1
Central Michigan,71,Liberty,84,2018,3/24/2018,1
Loyola (IL),78,Kansas State,62,2018,3/24/2018,1
Florida State,54,Michigan,58,2018,3/24/2018,1
Clemson,76,Kansas,80,2018,3/23/2018,1
West Virginia,78,Villanova,90,2018,3/23/2018,1
Syracuse,65,Duke,69,2018,3/23/2018,1
Texas Tech,78,Purdue,65,2018,3/23/2018,1
Texas A&M,72,Michigan,99,2018,3/22/2018,1
Loyola (IL),69,Nevada,68,2018,3/22/2018,1
Sam Houston State,76,UTSA,69,2018,3/22/2018,1
Kansas State,61,Kentucky,58,2018,3/22/2018,1
Florida State,75,Gonzaga,60,2018,3/22/2018,1
Campbell,62,San Francisco,65,2018,3/22/2018,1
UIC,83,Austin Peay,81,2018,3/21/2018,1
Jacksonville State,68,North Texas,90,2018,3/21/2018,1
Western Kentucky,92,Oklahoma State,84,2018,3/21/2018,1
Utah,67,Saint Mary's (CA),58,2018,3/21/2018,1
Northern Colorado,86,San Diego,75,2018,3/21/2018,1
Penn State,85,Marquette,80,2018,3/20/2018,1
Mississippi State,79,Louisville,56,2018,3/20/2018,1
Jacksonville State,80,Central Arkansas,59,2018,3/19/2018,1
New Orleans,69,Campbell,71,2018,3/19/2018,1
Stanford,65,Oklahoma State,71,2018,3/19/2018,1
Eastern Michigan,62,Sam Houston State,69,2018,3/19/2018,1
Mercer,67,North Texas,96,2018,3/19/2018,1
LSU,71,Utah,95,2018,3/19/2018,1
Utah Valley,73,San Francisco,78,2018,3/19/2018,1
Washington,81,Saint Mary's (CA),85,2018,3/19/2018,1
Western Kentucky,79,USC,75,2018,3/19/2018,1
Mississippi State,78,Baylor,77,2018,3/18/2018,1
Butler,73,Purdue,76,2018,3/18/2018,1
Syracuse,55,Michigan State,53,2018,3/18/2018,1
Oregon,92,Marquette,101,2018,3/18/2018,1
Texas A&M,86,UNC,65,2018,3/18/2018,1
Drake,72,Northern Colorado,81,2018,3/18/2018,1
Nevada,75,Cincinnati,73,2018,3/18/2018,1
Middle Tennessee,68,Louisville,84,2018,3/18/2018,1
Clemson,84,Auburn,53,2018,3/18/2018,1
UMBC,43,Kansas State,50,2018,3/18/2018,1
Florida State,75,Xavier,70,2018,3/18/2018,1
Marshall,71,West Virginia,94,2018,3/18/2018,1
Penn State,73,Notre Dame,63,2018,3/17/2018,1
Alabama,58,Villanova,81,2018,3/17/2018,1
Rhode Island,62,Duke,87,2018,3/17/2018,1
Buffalo,75,Kentucky,95,2018,3/17/2018,1
Loyola (IL),63,Tennessee,62,2018,3/17/2018,1
Ohio State,84,Gonzaga,90,2018,3/17/2018,1
Seton Hall,79,Kansas,83,2018,3/17/2018,1
Florida,66,Texas Tech,69,2018,3/17/2018,1
Houston,63,Michigan,64,2018,3/17/2018,1
Portland State,64,San Diego,67,2018,3/17/2018,1
Cal State Fullerton,48,Purdue,74,2018,3/16/2018,1
Providence,69,Texas A&M,73,2018,3/16/2018,1
Marshall,81,Wichita State,75,2018,3/16/2018,1
Georgia State,53,Cincinnati,68,2018,3/16/2018,1
Lipscomb,66,UNC,84,2018,3/16/2018,1
Butler,79,Arkansas,62,2018,3/16/2018,1
Texas,83,Nevada,87,2018,3/16/2018,1
Murray State,68,West Virginia,85,2018,3/16/2018,1
Kansas State,69,Creighton,59,2018,3/16/2018,1
College of Charleston,58,Auburn,62,2018,3/16/2018,1
Bucknell,78,Michigan State,82,2018,3/16/2018,1
Central Michigan,98,Wofford,94,2018,3/16/2018,1
Texas Southern,83,Xavier,102,2018,3/16/2018,1
New Mexico State,68,Clemson,79,2018,3/16/2018,1
Florida State,67,Missouri,54,2018,3/16/2018,1
Syracuse,57,Texas Christian,52,2018,3/16/2018,1
UMBC,74,Virginia,54,2018,3/16/2018,1
Oklahoma,78,Rhode Island,83,2018,3/15/2018,1
Wright State,47,Tennessee,73,2018,3/15/2018,1
North Carolina-Greensboro,64,Gonzaga,68,2018,3/15/2018,1
Iona,67,Duke,89,2018,3/15/2018,1
Penn,60,Kansas,76,2018,3/15/2018,1
Loyola (IL),64,Miami (FL),62,2018,3/15/2018,1
South Dakota State,73,Ohio State,81,2018,3/15/2018,1
North Carolina State,83,Seton Hall,94,2018,3/15/2018,1
Radford,61,Villanova,87,2018,3/15/2018,1
San Diego State,65,Houston,67,2018,3/15/2018,1
Davidson,73,Kentucky,78,2018,3/15/2018,1
Stephen F. Austin,60,Texas Tech,70,2018,3/15/2018,1
Louisiana-Monroe,66,Austin Peay,80,2018,3/15/2018,1
Buffalo,89,Arizona,68,2018,3/15/2018,1
St. Bonaventure,62,Florida,77,2018,3/15/2018,1
Montana,47,Michigan,61,2018,3/15/2018,1
Alabama,86,Virginia Tech,83,2018,3/15/2018,1
Texas Southern,64,North Carolina Central,46,2018,3/14/2018,1
Miami (OH),87,Campbell,97,2018,3/14/2018,1
Jacksonville State,80,Canisius,78,2018,3/14/2018,1
Niagara,65,Eastern Michigan,83,2018,3/14/2018,1
Louisiana,76,LSU,84,2018,3/14/2018,1
Harvard,60,Marquette,67,2018,3/14/2018,1
Saint Francis (PA),61,UIC,84,2018,3/14/2018,1
Texas-Rio Grande Valley,74,New Orleans,77,2018,3/14/2018,1
Temple,57,Penn State,63,2018,3/14/2018,1
North Texas,90,South Dakota,77,2018,3/14/2018,1
Lamar,69,UTSA,76,2018,3/14/2018,1
Syracuse,60,Arizona State,56,2018,3/14/2018,1
Nebraska,59,Mississippi State,66,2018,3/14/2018,1
UC-Davis,59,Utah,69,2018,3/14/2018,1
Mercer,78,Grand Canyon,73,2018,3/14/2018,1
Colgate,68,San Francisco,72,2018,3/14/2018,1
Central Arkansas,92,Seattle,90,2018,3/14/2018,1
BYU,83,Stanford,86,2018,3/14/2018,1
Boise State,74,Washington,77,2018,3/14/2018,1
LIU-Brooklyn,61,Radford,71,2018,3/13/2018,1
Wagner,59,Baylor,80,2018,3/13/2018,1
Northern Kentucky,58,Louisville,66,2018,3/13/2018,1
Vermont,64,Middle Tennessee,91,2018,3/13/2018,1
Boston College,62,Western Kentucky,79,2018,3/13/2018,1
Hampton,63,Notre Dame,84,2018,3/13/2018,1
Florida Gulf Coast,68,Oklahoma State,80,2018,3/13/2018,1
St. Bonaventure,65,UCLA,58,2018,3/13/2018,1
Eastern Washington,65,Utah Valley,87,2018,3/13/2018,1
Rider,86,Oregon,99,2018,3/13/2018,1
Southeastern Louisiana,45,Saint Mary's (CA),89,2018,3/13/2018,1
North Carolina-Asheville,66,USC,69,2018,3/13/2018,1
Central Michigan,94,IPFW,89,2018,3/12/2018,1
Abilene Christian,73,Drake,80,2018,3/12/2018,1
North Carolina A&T,52,Liberty,65,2018,3/12/2018,1
Hartford,72,San Diego,88,2018,3/12/2018,1
Penn,68,Harvard,65,2018,3/11/2018,1
Davidson,58,Rhode Island,57,2018,3/11/2018,1
Kentucky,77,Tennessee,72,2018,3/11/2018,1
Texas-Arlington,61,Georgia State,74,2018,3/11/2018,1
Houston,55,Cincinnati,56,2018,3/11/2018,1
UMBC,65,Vermont,62,2018,3/10/2018,1
Cornell,55,Harvard,74,2018,3/10/2018,1
Texas-Arlington,71,Louisiana,68,2018,3/10/2018,1
Memphis,60,Cincinnati,70,2018,3/10/2018,1
North Carolina Central,71,Hampton,63,2018,3/10/2018,1
Alabama,63,Kentucky,86,2018,3/10/2018,1
St. Joseph's,87,Rhode Island,90,2018,3/10/2018,1
Georgia Southern,67,Georgia State,73,2018,3/10/2018,1
Yale,57,Penn,80,2018,3/10/2018,1
Davidson,82,St. Bonaventure,70,2018,3/10/2018,1
Arkansas,66,Tennessee,84,2018,3/10/2018,1
Houston,77,Wichita State,74,2018,3/10/2018,1
Texas Southern,84,Arkansas-Pine Bluff,69,2018,3/10/2018,1
West Virginia,70,Kansas,81,2018,3/10/2018,1
San Diego State,82,New Mexico,75,2018,3/10/2018,1
Providence,66,Villanova,76,2018,3/10/2018,1
Toledo,66,Buffalo,76,2018,3/10/2018,1
Eastern Washington,65,Montana,82,2018,3/10/2018,1
UNC,63,Virginia,71,2018,3/10/2018,1
Marshall,67,Western Kentucky,66,2018,3/10/2018,1
Stephen F. Austin,59,Southeastern Louisiana,55,2018,3/10/2018,1
USC,61,Arizona,75,2018,3/10/2018,1
Grand Canyon,58,New Mexico State,72,2018,3/10/2018,1
Cal State Fullerton,71,UC-Irvine,55,2018,3/10/2018,1
SMU,51,Cincinnati,61,2018,3/9/2018,1
Texas State,54,Louisiana,80,2018,3/9/2018,1
VCU,67,Rhode Island,76,2018,3/9/2018,1
Alabama,81,Auburn,63,2018,3/9/2018,1
Southern Miss,75,Marshall,85,2018,3/9/2018,1
George Mason,49,St. Joseph's,68,2018,3/9/2018,1
Memphis,67,Tulsa,64,2018,3/9/2018,1
Southern,65,Arkansas-Pine Bluff,71,2018,3/9/2018,1
Georgia,49,Kentucky,62,2018,3/9/2018,1
Appalachian State,68,Texas-Arlington,84,2018,3/9/2018,1
Western Kentucky,57,Old Dominion,49,2018,3/9/2018,1
Kent State,61,Buffalo,78,2018,3/9/2018,1
Troy,51,Georgia State,73,2018,3/9/2018,1
North Carolina A&T,86,Hampton,96,2018,3/9/2018,1
Sam Houston State,79,Southeastern Louisiana,89,2018,3/9/2018,1
Richmond,77,St. Bonaventure,83,2018,3/9/2018,1
Providence,75,Xavier,72,2018,3/9/2018,1
Kansas State,67,Kansas,83,2018,3/9/2018,1
Mississippi State,59,Tennessee,62,2018,3/9/2018,1
Clemson,58,Virginia,64,2018,3/9/2018,1
Temple,81,Wichita State,89,2018,3/9/2018,1
Saint Louis,60,Davidson,78,2018,3/9/2018,1
Louisiana-Monroe,55,Georgia Southern,63,2018,3/9/2018,1
Northern Colorado,89,Montana,91,2018,3/9/2018,1
Stephen F. Austin,78,Nicholls State,66,2018,3/9/2018,1
Morgan State,70,North Carolina Central,79,2018,3/9/2018,1
UCLA,67,Arizona,78,2018,3/9/2018,1
Cal State Fullerton,55,UC-Davis,52,2018,3/9/2018,1
UNC,74,Duke,69,2018,3/9/2018,1
Arkansas,80,Florida,72,2018,3/9/2018,1
UCF,56,Houston,84,2018,3/9/2018,1
San Diego State,90,Nevada,73,2018,3/9/2018,1
Texas Southern,88,Prairie View,74,2018,3/9/2018,1
West Virginia,66,Texas Tech,63,2018,3/9/2018,1
Eastern Michigan,63,Toledo,64,2018,3/9/2018,1
Grand Canyon,75,Utah Valley,60,2018,3/9/2018,1
Butler,68,Villanova,87,2018,3/9/2018,1
UC-Irvine,61,UCSB,58,2018,3/9/2018,1
Southern Utah,70,Eastern Washington,82,2018,3/9/2018,1
Utah State,68,New Mexico,83,2018,3/9/2018,1
Seattle,79,New Mexico State,84,2018,3/9/2018,1
Oregon,54,USC,74,2018,3/9/2018,1
Central Michigan,74,Buffalo,89,2018,3/8/2018,1
SMU,80,UConn,73,2018,3/8/2018,1
Texas Christian,64,Kansas State,66,2018,3/8/2018,1
Louisville,58,Virginia,75,2018,3/8/2018,1
Dayton,72,VCU,77,2018,3/8/2018,1
St. John's (NY),60,Xavier,88,2018,3/8/2018,1
Alabama,71,Texas A&M,70,2018,3/8/2018,1
Kent State,76,Ball State,73,2018,3/8/2018,1
Boston College,82,Clemson,90,2018,3/8/2018,1
Providence,72,Creighton,68,2018,3/8/2018,1
UMass,75,George Mason,80,2018,3/8/2018,1
Oklahoma State,68,Kansas,82,2018,3/8/2018,1
South Florida,77,Memphis,79,2018,3/8/2018,1
Colorado,67,Arizona,83,2018,3/8/2018,1
UC-Riverside,66,UC-Davis,70,2018,3/8/2018,1
UMKC,74,Grand Canyon,77,2018,3/8/2018,1
Georgia,62,Missouri,60,2018,3/8/2018,1
North Dakota,76,Montana,84,2018,3/8/2018,1
UNLV,74,Nevada,79,2018,3/8/2018,1
Long Beach State,74,Cal State Fullerton,76,2018,3/8/2018,1
San Diego State,64,Fresno State,52,2018,3/8/2018,1
Stanford,77,UCLA,88,2018,3/8/2018,1
Cal State Bakersfield,74,Utah Valley,81,2018,3/8/2018,1
Northern Colorado,80,Weber State,55,2018,3/8/2018,1
Duquesne,68,Richmond,81,2018,3/8/2018,1
New Orleans,63,Sam Houston State,85,2018,3/8/2018,1
North Carolina Central,58,Savannah State,56,2018,3/8/2018,1
Miami (OH),69,Toledo,71,2018,3/8/2018,1
Notre Dame,70,Duke,88,2018,3/8/2018,1
UTSA,81,Marshall,95,2018,3/8/2018,1
Southern Miss,71,Middle Tennessee,68,2018,3/8/2018,1
LSU,77,Mississippi State,80,2018,3/8/2018,1
Tulane,77,Temple,82,2018,3/8/2018,1
Texas,69,Texas Tech,73,2018,3/8/2018,1
Marquette,70,Villanova,94,2018,3/8/2018,1
Southern Utah,92,Idaho,78,2018,3/8/2018,1
Norfolk State,64,North Carolina A&T,70,2018,3/8/2018,1
George Washington,63,Saint Louis,70,2018,3/8/2018,1
Central Arkansas,64,Stephen F. Austin,86,2018,3/8/2018,1
South Carolina,64,Arkansas,69,2018,3/8/2018,1
Utah State,78,Boise State,75,2018,3/8/2018,1
Hawaii,67,UC-Irvine,68,2018,3/8/2018,1
East Carolina,52,UCF,66,2018,3/8/2018,1
Akron,58,Eastern Michigan,67,2018,3/8/2018,1
UNC,82,Miami (FL),65,2018,3/8/2018,1
Chicago State,70,New Mexico State,97,2018,3/8/2018,1
Louisiana Tech,58,Old Dominion,62,2018,3/8/2018,1
Butler,75,Seton Hall,74,2018,3/8/2018,1
Oregon State,48,USC,61,2018,3/8/2018,1
Baylor,65,West Virginia,78,2018,3/8/2018,1
Alabama-Birmingham,70,Western Kentucky,98,2018,3/8/2018,1
Cal Poly,53,UCSB,75,2018,3/8/2018,1
Portland State,72,Eastern Washington,78,2018,3/8/2018,1
Wyoming,75,New Mexico,85,2018,3/8/2018,1
Texas-Rio Grande Valley,60,Seattle,77,2018,3/8/2018,1
Oregon,68,Utah,66,2018,3/8/2018,1
Texas State,73,Coastal Carolina,66,2018,3/7/2018,1
Louisville,82,Florida State,74,2018,3/7/2018,1
Air Force,90,UNLV,97,2018,3/7/2018,1
Boston College,91,North Carolina State,87,2018,3/7/2018,1
Arkansas-Little Rock,64,Appalachian State,93,2018,3/7/2018,1
Arizona State,85,Colorado,97,2018,3/7/2018,1
Colorado State,65,Utah State,76,2018,3/7/2018,1
University of California,58,Stanford,76,2018,3/7/2018,1
Florida A&M,71,Hampton,75,2018,3/7/2018,1
UMass,69,La Salle,67,2018,3/7/2018,1
Texas A&M-Corpus Christi,76,New Orleans,83,2018,3/7/2018,1
South Alabama,62,Troy,69,2018,3/7/2018,1
Colgate,54,Bucknell,83,2018,3/7/2018,1
Southern Miss,69,Florida International,68,2018,3/7/2018,1
St. John's (NY),88,Georgetown,77,2018,3/7/2018,1
Vanderbilt,62,Georgia,78,2018,3/7/2018,1
Oklahoma,60,Oklahoma State,71,2018,3/7/2018,1
UTEP,58,UTSA,71,2018,3/7/2018,1
Notre Dame,71,Virginia Tech,65,2018,3/7/2018,1
San Jose State,61,Wyoming,74,2018,3/7/2018,1
Louisiana-Monroe,76,Arkansas State,54,2018,3/7/2018,1
Morgan State,78,Bethune-Cookman,77,2018,3/7/2018,1
Fordham,72,George Washington,78,2018,3/7/2018,1
Central Arkansas,67,Lamar,57,2018,3/7/2018,1
DePaul,69,Marquette,72,2018,3/7/2018,1
Syracuse,59,UNC,78,2018,3/7/2018,1
Louisiana Tech,68,North Texas,62,2018,3/7/2018,1
Ole Miss,84,South Carolina,85,2018,3/7/2018,1
Iowa State,64,Texas,68,2018,3/7/2018,1
Oregon State,69,Washington,66,2018,3/7/2018,1
Florida Atlantic,72,Alabama-Birmingham,83,2018,3/7/2018,1
Washington State,62,Oregon,64,2018,3/7/2018,1
Georgia Tech,77,Boston College,87,2018,3/6/2018,1
Pitt,64,Notre Dame,67,2018,3/6/2018,1
Montana State,74,North Dakota,76,2018,3/6/2018,1
Florida A&M,88,Howard,78,2018,3/6/2018,1
Northern Arizona,59,Northern Colorado,82,2018,3/6/2018,1
Coppin State,48,North Carolina Central,60,2018,3/6/2018,1
Northeastern,76,College of Charleston,83,2018,3/6/2018,1
Hartford,60,UMBC,75,2018,3/6/2018,1
Wake Forest,64,Syracuse,73,2018,3/6/2018,1
Stony Brook,51,Vermont,70,2018,3/6/2018,1
LIU-Brooklyn,71,Wagner,61,2018,3/6/2018,1
Cleveland State,57,Wright State,74,2018,3/6/2018,1
Mississippi Valley State,73,Arkansas-Pine Bluff,77,2018,3/6/2018,1
Southern Utah,76,Idaho State,68,2018,3/6/2018,1
Jackson State,60,Southern,62,2018,3/6/2018,1
BYU,54,Gonzaga,74,2018,3/6/2018,1
South Carolina State,80,Morgan State,83,2018,3/6/2018,1
Alcorn State,71,Prairie View,87,2018,3/6/2018,1
South Dakota,87,South Dakota State,97,2018,3/6/2018,1
Alabama State,76,Texas Southern,90,2018,3/6/2018,1
Sacramento State,67,Portland State,71,2018,3/6/2018,1
William & Mary,73,College of Charleston,83,2018,3/5/2018,0
Delaware State,61,North Carolina A&T,62,2018,3/5/2018,0
Bowling Green State,77,Central Michigan,81,2018,3/5/2018,0
Fairfield,71,Iona,83,2018,3/5/2018,0
Northern Illinois,59,Kent State,61,2018,3/5/2018,0
Ohio,55,Miami (OH),68,2018,3/5/2018,0
Cleveland State,44,Oakland,43,2018,3/5/2018,0
North Dakota State,57,South Dakota State,78,2018,3/5/2018,0
Akron,79,Western Michigan,78,2018,3/5/2018,0
North Carolina-Wilmington,52,Northeastern,79,2018,3/5/2018,0
San Francisco,60,Gonzaga,88,2018,3/5/2018,0
Maryland-Eastern Shore,68,Norfolk State,78,2018,3/5/2018,0
ETSU,47,North Carolina-Greensboro,62,2018,3/5/2018,0
Denver,58,South Dakota,76,2018,3/5/2018,0
Milwaukee,53,Wright State,59,2018,3/5/2018,0
BYU,85,Saint Mary's (CA),72,2018,3/5/2018,0
Holy Cross,55,Colgate,62,2018,3/4/2018,0
Drexel,59,College of Charleston,66,2018,3/4/2018,0
Cincinnati,62,Wichita State,61,2018,3/4/2018,0
Liberty,52,Radford,55,2018,3/4/2018,0
Boston University,59,Bucknell,90,2018,3/4/2018,0
Illinois State,49,Loyola (IL),65,2018,3/4/2018,0
SMU,54,South Florida,65,2018,3/4/2018,0
Towson,66,William & Mary,80,2018,3/4/2018,0
Lipscomb,108,Florida Gulf Coast,96,2018,3/4/2018,0
East Carolina,70,Memphis,90,2018,3/4/2018,0
Temple,58,Tulsa,76,2018,3/4/2018,0
Tulane,51,UCF,60,2018,3/4/2018,0
UConn,71,Houston,81,2018,3/4/2018,0
Wofford,55,North Carolina-Greensboro,56,2018,3/4/2018,0
Michigan,75,Purdue,66,2018,3/4/2018,0
Milwaukee,80,UIC,75,2018,3/4/2018,0
Furman,52,ETSU,63,2018,3/4/2018,0
Delaware,50,Northeastern,74,2018,3/4/2018,0
St. Peter's,62,Iona,65,2018,3/4/2018,0
North Dakota State,86,IPFW,82,2018,3/4/2018,0
IUPUI,55,Oakland,62,2018,3/4/2018,0
North Carolina-Wilmington,93,Hofstra,88,2018,3/4/2018,0
Oral Roberts,88,Denver,90,2018,3/4/2018,0
Quinnipiac,64,Fairfield,74,2018,3/4/2018,0
Western Michigan,71,Central Michigan,84,2018,3/3/2018,0
Xavier,65,DePaul,62,2018,3/3/2018,0
Kentucky,67,Florida,80,2018,3/3/2018,0
Wake Forest,56,Georgia Tech,64,2018,3/3/2018,0
Fairleigh Dickinson,77,LIU-Brooklyn,78,2018,3/3/2018,0
Virginia Tech,68,Miami (FL),69,2018,3/3/2018,0
Citadel,58,North Carolina-Greensboro,72,2018,3/3/2018,0
St. John's (NY),57,Providence,61,2018,3/3/2018,0
West Virginia,79,Texas,87,2018,3/3/2018,0
Mississippi State,57,LSU,78,2018,3/3/2018,0
UMass-Lowell,77,UMBC,89,2018,3/3/2018,0
Stanford,84,Arizona State,83,2018,3/3/2018,0
Boston College,76,Florida State,85,2018,3/3/2018,0
VCU,83,Fordham,58,2018,3/3/2018,0
South Alabama,75,Georgia State,90,2018,3/3/2018,0
Baylor,67,Kansas State,77,2018,3/3/2018,0
Creighton,81,Marquette,85,2018,3/3/2018,0
Wofford,73,Mercer,53,2018,3/3/2018,0
Michigan,75,Michigan State,64,2018,3/3/2018,0
La Salle,70,St. Joseph's,78,2018,3/3/2018,0
Clemson,52,Syracuse,55,2018,3/3/2018,0
Alabama,66,Texas A&M,68,2018,3/3/2018,0
Robert Morris,64,Wagner,75,2018,3/3/2018,0
Coastal Carolina,67,Appalachian State,76,2018,3/3/2018,0
South Carolina,70,Auburn,79,2018,3/3/2018,0
George Washington,78,Dayton,88,2018,3/3/2018,0
Arkansas State,83,Louisiana-Monroe,79,2018,3/3/2018,0
Bradley,54,Loyola (IL),62,2018,3/3/2018,0
San Jose State,61,Air Force,83,2018,3/3/2018,0
San Diego,79,BYU,85,2018,3/3/2018,0
James Madison,62,Drexel,70,2018,3/3/2018,0
New Hampshire,60,Hartford,71,2018,3/3/2018,0
Abilene Christian,69,Incarnate Word,59,2018,3/3/2018,0
Lamar,60,McNeese State,69,2018,3/3/2018,0
Weber State,95,Montana State,92,2018,3/3/2018,0
Kansas,64,Oklahoma State,82,2018,3/3/2018,0
North Dakota,90,Portland State,97,2018,3/3/2018,0
Penn State,70,Purdue,78,2018,3/3/2018,0
Texas Christian,75,Texas Tech,79,2018,3/3/2018,0
Notre Dame,57,Virginia,62,2018,3/3/2018,0
Oregon,72,Washington,64,2018,3/3/2018,0
UMKC,82,Chicago State,96,2018,3/3/2018,0
Northern Arizona,68,Eastern Washington,85,2018,3/3/2018,0
Troy,83,Georgia Southern,89,2018,3/3/2018,0
Louisiana Tech,64,Southern Miss,72,2018,3/3/2018,0
Georgetown,73,Villanova,97,2018,3/3/2018,0
Green Bay,72,Wright State,87,2018,3/3/2018,0
Grambling,66,Alabama State,64,2018,3/3/2018,0
Texas Southern,78,Alcorn State,71,2018,3/3/2018,0
University of California,54,Arizona,66,2018,3/3/2018,0
Penn,99,Brown,93,2018,3/3/2018,0
Hawaii,68,Cal State Fullerton,60,2018,3/3/2018,0
Northwestern State,58,Central Arkansas,61,2018,3/3/2018,0
Elon,79,Delaware,86,2018,3/3/2018,0
Chattanooga,59,ETSU,77,2018,3/3/2018,0
Arkansas,67,Missouri,77,2018,3/3/2018,0
Louisville,69,North Carolina State,76,2018,3/3/2018,0
UTEP,68,North Texas,66,2018,3/3/2018,0
Pacific,70,San Francisco,71,2018,3/3/2018,0
Nicholls State,57,Southeastern Louisiana,69,2018,3/3/2018,0
Prairie View,77,Southern,69,2018,3/3/2018,0
Illinois State,76,Southern Illinois,68,2018,3/3/2018,0
Georgia,61,Tennessee,66,2018,3/3/2018,0
Oregon State,92,Washington State,67,2018,3/3/2018,0
Jackson State,59,Alabama A&M,66,2018,3/3/2018,0
Stony Brook,69,Albany (NY),60,2018,3/3/2018,0
Wyoming,87,Boise State,95,2018,3/3/2018,0
Florida Atlantic,78,Charlotte,85,2018,3/3/2018,0
Cornell,86,Dartmouth,75,2018,3/3/2018,0
Richmond,93,George Mason,79,2018,3/3/2018,0
Columbia,74,Harvard,93,2018,3/3/2018,0
Marshall,76,Middle Tennessee,67,2018,3/3/2018,0
Fairfield,90,Niagara,77,2018,3/3/2018,0
Florida International,53,Old Dominion,79,2018,3/3/2018,0
Western Illinois,60,South Dakota State,66,2018,3/3/2018,0
Colorado,54,Utah,64,2018,3/3/2018,0
Maine,60,Vermont,75,2018,3/3/2018,0
Princeton,90,Yale,94,2018,3/3/2018,0
Western Kentucky,73,Alabama-Birmingham,101,2018,3/3/2018,0
Mississippi Valley State,57,Arkansas-Pine Bluff,94,2018,3/3/2018,0
UNC,64,Duke,74,2018,3/3/2018,0
Western Carolina,73,Furman,97,2018,3/3/2018,0
Texas A&M-Corpus Christi,92,Houston Baptist,87,2018,3/3/2018,0
Arkansas-Little Rock,72,Louisiana,61,2018,3/3/2018,0
Duquesne,75,UMass,85,2018,3/3/2018,0
Vanderbilt,82,Ole Miss,69,2018,3/3/2018,0
Belmont,51,Murray State,68,2018,3/3/2018,0
Cleveland State,89,Northern Kentucky,80,2018,3/3/2018,0
UTSA,79,Rice,60,2018,3/3/2018,0
St. Bonaventure,64,Saint Louis,56,2018,3/3/2018,0
Stephen F. Austin,65,Sam Houston State,53,2018,3/3/2018,0
Butler,70,Seton Hall,77,2018,3/3/2018,0
New Mexico State,86,Texas-Rio Grande Valley,71,2018,3/3/2018,0
Cal State Bakersfield,68,Grand Canyon,81,2018,3/3/2018,0
Manhattan,60,Iona,72,2018,3/3/2018,0
Idaho State,64,Montana,75,2018,3/3/2018,0
Fresno State,86,New Mexico,95,2018,3/3/2018,0
Nebraska-Omaha,73,South Dakota,87,2018,3/3/2018,0
UNLV,67,Utah State,79,2018,3/3/2018,0
Seattle,47,Utah Valley,73,2018,3/3/2018,0
UC-Davis,90,UC-Irvine,84,2018,3/3/2018,0
Cal Poly,61,UCSB,86,2018,3/3/2018,0
Loyola Marymount,69,Gonzaga,83,2018,3/3/2018,0
Southern Utah,76,Idaho,78,2018,3/3/2018,0
UC-Riverside,59,Long Beach State,77,2018,3/3/2018,0
Northern Colorado,77,Sacramento State,88,2018,3/3/2018,0
Nevada,74,San Diego State,79,2018,3/3/2018,0
UCLA,83,USC,72,2018,3/3/2018,0
Pepperdine,66,Saint Mary's (CA),69,2018,3/3/2018,0
Wisconsin,60,Michigan State,63,2018,3/2/2018,0
Northern Iowa,50,Loyola (IL),54,2018,3/2/2018,0
Michigan,77,Nebraska,58,2018,3/2/2018,0
Bradley,63,Drake,61,2018,3/2/2018,0
Virginia Military Institute,70,Citadel,78,2018,3/2/2018,0
Detroit,81,Green Bay,93,2018,3/2/2018,0
Buffalo,100,Bowling Green State,70,2018,3/2/2018,0
Penn State,69,Ohio State,68,2018,3/2/2018,0
Winthrop,52,Radford,61,2018,3/2/2018,0
Eastern Michigan,71,Toledo,69,2018,3/2/2018,0
Kent State,65,Akron,67,2018,3/2/2018,0
Princeton,78,Brown,63,2018,3/2/2018,0
Columbia,78,Dartmouth,80,2018,3/2/2018,0
Cornell,88,Harvard,98,2018,3/2/2018,0
Ohio,75,Miami (OH),66,2018,3/2/2018,0
St. Peter's,66,Rider,55,2018,3/2/2018,0
Chattanooga,89,Samford,79,2018,3/2/2018,0
Missouri State,63,Southern Illinois,67,2018,3/2/2018,0
Texas-Arlington,85,Texas State,82,2018,3/2/2018,0
Penn,79,Yale,80,2018,3/2/2018,0
Youngstown State,71,Cleveland State,72,2018,3/2/2018,0
Rhode Island,61,Davidson,63,2018,3/2/2018,0
Jacksonville State,63,Murray State,70,2018,3/2/2018,0
Liberty,69,North Carolina-Asheville,64,2018,3/2/2018,0
Ball State,65,Northern Illinois,66,2018,3/2/2018,0
Quinnipiac,72,Canisius,69,2018,3/2/2018,0
Indiana State,70,Illinois State,77,2018,3/2/2018,0
Portland,72,Loyola Marymount,78,2018,3/2/2018,0
